dataset,contrast,base_model,compare_model,discordance_status,group_column,group_value,n
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.001,0.005]",46
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.005,0.01]",41
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",28
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.05,0.1]",3
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.1,0.5]",3
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0,0.001]",74
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.001,0.005]",251
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.005,0.01]",307
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.01,0.05]",529
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.05,0.1]",42
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.1,0.5]",7
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,af_abraom_bin,>1e-2,132
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,af_abraom_bin,>1e-2,1210
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,label,1,5
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,variant_type,SNV,5
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0,0.001]",2
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.001,0.005]",2
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.1,0.5]",1
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,1e-3..1e-2,4
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,>1e-2,1
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,label,1,4
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,variant_type,SNV,4
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0,0.001]",2
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.005,0.01]",1
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.1,0.5]",1
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,af_abraom_bin,1e-3..1e-2,2
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,af_abraom_bin,>1e-2,2
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,label,1,3
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,label,1,2
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,variant_type,SNV,3
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,variant_type,SNV,2
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0,0.001]",1
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.001,0.005]",2
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0,0.001]",1
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0.005,0.01]",1
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,af_abraom_bin,1e-3..1e-2,3
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,af_abraom_bin,1e-3..1e-2,1
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,af_abraom_bin,>1e-2,1
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,label,1,8
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,label,1,28
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,variant_type,SNV,8
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,variant_type,SNV,28
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0,0.001]",1
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.001,0.005]",2
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.005,0.01]",1
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",4
