assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
Histone ChIP-seq,896,1023,959,0.008195872530262351,0.34268243880608124,483174
Histone ChIP-seq,1024,1151,1087,0.007691190007885097,0.3215808615240458,477461
Histone ChIP-seq,1152,1279,1215,0.007246748780253084,0.3029980683890199,472368
Histone ChIP-seq,1280,1407,1343,0.006848024655282533,0.28632677987748967,467236
Histone ChIP-seq,1408,1535,1471,0.006648035890947165,0.2779649322226842,461607
Histone ChIP-seq,1536,1663,1599,0.006387747817347124,0.26708187474173245,455530
Histone ChIP-seq,1664,1791,1727,0.006116030866807731,0.25572095777627424,449676
Histone ChIP-seq,1792,1919,1855,0.005920584607457476,0.24754903946466433,444654
Histone ChIP-seq,1920,2047,1983,0.005704807195028465,0.23852704337365482,438682
Histone ChIP-seq,2048,2175,2111,0.005369177103340646,0.2244938165351929,432720
Histone ChIP-seq,2176,2303,2239,0.005058703093067388,0.211512405387875,426108
Histone ChIP-seq,2304,2431,2367,0.004817099448440849,0.20141057353783642,420773
Histone ChIP-seq,2432,2559,2495,0.004639897972001523,0.1940014985574667,415620
Histone ChIP-seq,2560,2687,2623,0.00445307176409974,0.18618999827848107,409885
Histone ChIP-seq,2688,2815,2751,0.004223259414203321,0.17658117917600286,405878
Histone ChIP-seq,2816,2943,2879,0.004129635054897908,0.17266659611483745,400640
Histone ChIP-seq,2944,3071,3007,0.004075070687133387,0.1703851732951905,394946
Histone ChIP-seq,3072,3199,3135,0.003969824891359908,0.16598467952999674,388856
Histone ChIP-seq,3200,3327,3263,0.0038101213930842328,0.15930722278907067,383481
Histone ChIP-seq,3328,3455,3391,0.0037236595412375867,0.1556921155329369,377966
Histone ChIP-seq,3456,3583,3519,0.003672517650527329,0.15355379191101204,372827
Histone ChIP-seq,3584,3711,3647,0.003594012583460799,0.1502713704553757,368259
Histone ChIP-seq,3712,3839,3775,0.0035450057898396142,0.148222318631526,362993
Histone ChIP-seq,3840,3967,3903,0.0034378386073705097,0.1437414886390037,358076
Histone ChIP-seq,3968,4095,4031,0.0034603797807203495,0.14468397087363485,352458
Histone ChIP-seq,4096,4223,4159,0.0034489021415648933,0.14420407256347872,345678
Histone ChIP-seq,4224,4351,4287,0.003445588877525299,0.14406553973524056,340674
Histone ChIP-seq,4352,4479,4415,0.0033748416843594484,0.1411074873005253,336147
Histone ChIP-seq,4480,4607,4543,0.0034382875013610316,0.14376025760922248,332010
Histone ChIP-seq,4608,4735,4671,0.00335100620412697,0.14011088804083446,325343
Histone ChIP-seq,4736,4863,4799,0.003225216943418849,0.13485143940056957,318674
Histone ChIP-seq,4864,4991,4927,0.0031020558272109463,0.12970187765319421,313639
Histone ChIP-seq,4992,5119,5055,0.002938858784547503,0.12287835027653568,307113
Histone ChIP-seq,5120,5247,5183,0.0028294610122555196,0.11830425578317377,301904
Histone ChIP-seq,5248,5375,5311,0.002749458638525763,0.11495922955945442,296048
Histone ChIP-seq,5376,5503,5439,0.0027059018758618697,0.11313805218010312,291628
Histone ChIP-seq,5504,5631,5567,0.0026297122782542883,0.10995244417760966,286568
Histone ChIP-seq,5632,5759,5695,0.0025991059366075433,0.10867274445562009,281538
Histone ChIP-seq,5760,5887,5823,0.0024826595457132375,0.10380393603107647,277044
Histone ChIP-seq,5888,6015,5951,0.0024025608088040313,0.10045488070987874,271618
Histone ChIP-seq,6016,6143,6079,0.002344193910391379,0.0980144680485371,265894
Histone ChIP-seq,6144,6271,6207,0.0023439723082455577,0.09800520251109805,258447
Histone ChIP-seq,6272,6399,6335,0.0023438390601101186,0.09799963119506672,252711
Histone ChIP-seq,6400,6527,6463,0.002301656757504464,0.09623592217226434,247287
Histone ChIP-seq,6528,6655,6591,0.0022719360190999803,0.09499325092744448,242781
Histone ChIP-seq,6656,6783,6719,0.002275912918175713,0.0951595313898511,237763
Histone ChIP-seq,6784,6911,6847,0.0022728010639895702,0.09502941982725922,232697
Histone ChIP-seq,6912,7039,6975,0.002239826658595602,0.09365070760145747,228275
Histone ChIP-seq,7040,7167,7103,0.002156803985617437,0.09017939787240699,222429
Histone ChIP-seq,7168,7295,7231,0.002128815405934844,0.08900915093299511,217224
Histone ChIP-seq,7296,7423,7359,0.002130692541460795,0.08908763694868499,210693
Histone ChIP-seq,7424,7551,7487,0.0020812707575662824,0.08702123372284364,205660
Histone ChIP-seq,7552,7679,7615,0.002024607385185795,0.08465204818870735,199000
Histone ChIP-seq,7680,7807,7743,0.002022205619473179,0.08455162655223104,192318
Histone ChIP-seq,7808,7935,7871,0.0020076529333994896,0.08394315564977406,188174
Histone ChIP-seq,7936,8063,7999,0.0020087521805702067,0.08398911691868365,183650
Histone ChIP-seq,8064,8191,8127,0.0020321837886588664,0.08496882964302407,178654
Histone ChIP-seq,8192,8319,8255,0.0020393264534344677,0.08526747579397866,171888
Histone ChIP-seq,8320,8447,8383,0.002014047585261851,0.08421052619359579,166247
Histone ChIP-seq,8448,8575,8511,0.002016553433382277,0.08431529968074003,161337
Histone ChIP-seq,8576,8703,8639,0.001956646791840347,0.0818105079153155,156068
Histone ChIP-seq,8704,8831,8767,0.0019218048660919734,0.08035371169940718,151489
Histone ChIP-seq,8832,8959,8895,0.0019608327648945123,0.08198553009259818,146372
Histone ChIP-seq,8960,9087,9023,0.0018870374810771864,0.0789000321498796,140847
Histone ChIP-seq,9088,9215,9151,0.0018611423199105075,0.07781731436124777,135475
Histone ChIP-seq,9216,9343,9279,0.0018770621876530698,0.07848294929924221,129395
Histone ChIP-seq,9344,9471,9407,0.0018345679304563496,0.07670619695985964,123691
Histone ChIP-seq,9472,9599,9535,0.001823225030480522,0.07623193230865896,118440
Histone ChIP-seq,9600,9727,9663,0.0018343836693998031,0.07669849271263018,114443
Histone ChIP-seq,9728,9855,9791,0.0017875740995251074,0.07474131030100829,108712
Histone ChIP-seq,9856,9983,9919,0.0017768805363360147,0.07429419545147464,103557
Histone ChIP-seq,9984,10111,10047,0.0017362331844740515,0.07259466515550742,98226
Histone ChIP-seq,10112,10239,10175,0.001765431738680027,0.07381550305018791,91617
Histone ChIP-seq,10240,10367,10303,0.0018231891282228998,0.07623043117828449,85650
Histone ChIP-seq,10368,10495,10431,0.0017312633474416395,0.07238686838116189,79679
Histone ChIP-seq,10496,10623,10559,0.001763984631179663,0.07375499718877923,74651
Histone ChIP-seq,10624,10751,10687,0.0017717416716969356,0.0740793313646173,68810
Histone ChIP-seq,10752,10879,10815,0.0017110912895234374,0.07154344262293749,62726
Histone ChIP-seq,10880,11007,10943,0.0017424348606961942,0.07285396708152475,57092
Histone ChIP-seq,11008,11135,11071,0.0016020375366045713,0.0669837321255859,51962
Histone ChIP-seq,11136,11263,11199,0.0015671239625605331,0.06552394018071718,46864
Histone ChIP-seq,11264,11391,11327,0.0016322049025986843,0.06824507757880603,41162
Histone ChIP-seq,11392,11519,11455,0.0016935974027355695,0.07081199545040903,35396
Histone ChIP-seq,11520,11647,11583,0.001754711465319267,0.07336727140598304,30392
Histone ChIP-seq,11648,11775,11711,0.001800489738867534,0.07528133368134518,24768
Histone ChIP-seq,11776,11903,11839,0.001758507591057384,0.07352599344822433,18552
Histone ChIP-seq,11904,12031,11967,0.0017438322508401055,0.0729123941813498,13378
