assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
eCLIP,5376,5503,5439,0.01565760033257615,0.22434276471015777,2432
eCLIP,5504,5631,5567,0.01548333842695109,0.22184593270134415,2432
eCLIP,5632,5759,5695,0.015688060034055443,0.22477919261079163,2324
eCLIP,5760,5887,5823,0.01698635045237198,0.24338115304248428,2304
eCLIP,5888,6015,5951,0.020760738567634166,0.29746074677852924,2269
eCLIP,6016,6143,6079,0.027006260332779017,0.386946848741098,2106
eCLIP,6144,6271,6207,0.01950482128829643,0.2794659104875757,1991
eCLIP,6272,6399,6335,0.016575147061896205,0.2374894133430365,1828
eCLIP,6400,6527,6463,0.01743478235409514,0.24980630443733123,1792
eCLIP,6528,6655,6591,0.022628186368657925,0.32421761844052577,1773
eCLIP,6656,6783,6719,0.021197551441603606,0.3037194202486529,1664
eCLIP,6784,6911,6847,0.02791004772633152,0.3998963530248362,1664
eCLIP,6912,7039,6975,0.025732554816806023,0.3686971418377066,1664
eCLIP,7040,7167,7103,0.02551940888709116,0.36564317787494893,1664
eCLIP,7168,7295,7231,0.02213369145075516,0.3171324741871869,1664
eCLIP,7296,7423,7359,0.016173506691066344,0.23173469299654012,1664
eCLIP,7424,7551,7487,0.015906059207115783,0.2279026940509921,1664
eCLIP,7552,7679,7615,0.016309291333956165,0.23368022114542933,1664
eCLIP,7680,7807,7743,0.016013185431181506,0.2294376031538808,1664
eCLIP,7808,7935,7871,0.011672616468943558,0.16724574611831766,1664
eCLIP,7936,8063,7999,0.013281911813145633,0.19030379837951478,1664
eCLIP,8064,8191,8127,0.013988618942566798,0.20042952824150814,1664
eCLIP,8192,8319,8255,0.014422863863125647,0.20665140796574852,1484
eCLIP,8320,8447,8383,0.02071999029638789,0.2968769038118947,1280
eCLIP,8448,8575,8511,0.014627342862002023,0.20958119177416842,1280
eCLIP,8576,8703,8639,0.023400734608416348,0.3352867225368145,1251
eCLIP,8704,8831,8767,0.011938375545102846,0.17105355348509202,1152
eCLIP,8832,8959,8895,0.011457763092506765,0.1641673177861767,1152
eCLIP,8960,9087,9023,0.021089427332842088,0.3021702134113246,1151
eCLIP,9088,9215,9151,0.021940404877365875,0.3143630559280372,906
eCLIP,9216,9343,9279,0.02632781668411813,0.3772260792356991,896
eCLIP,9344,9471,9407,0.014380960450450533,0.2060510140835029,896
eCLIP,9472,9599,9535,0.008475824335328754,0.12144197221774629,852
eCLIP,9600,9727,9663,0.0046924933018127985,0.06723424396791806,768
eCLIP,9728,9855,9791,0.007071354117603702,0.10131866309597905,712
eCLIP,9856,9983,9919,0.005742543915494025,0.08227941390169971,640
eCLIP,9984,10111,10047,0.00853060804784036,0.1222269155848579,640
eCLIP,10112,10239,10175,0.007665569597998001,0.10983260781762838,640
eCLIP,10240,10367,10303,0.007019008433053387,0.10056865189737724,640
eCLIP,10368,10495,10431,0.009294644636599075,0.13317406438295515,445
eCLIP,10496,10623,10559,0.005656153231257122,0.08104160449698614,384
eCLIP,10624,10751,10687,0.0026198220969205583,0.037536922631056846,268
eCLIP,10752,10879,10815,0.0025908101031859587,0.03712123754867341,256
eCLIP,10880,11007,10943,0.0035045779879396832,0.05021374273559531,256
eCLIP,11008,11135,11071,0.003952021636678182,0.056624734399570165,256
eCLIP,11136,11263,11199,0.005835766218979188,0.08361510703808658,256
eCLIP,11264,11391,11327,0.0034643747217714695,0.049637708624941046,164
